APPLUS EBENE;APPLUS BEZEICHNUNG;APPLUS ARTIKELNUMMER;APPLUS MENGE;APPLUS MENGENEINHEIT;APPLUS ARTIKELGRUPPE;APPLUS PROFILLÄNGE;APPLUS FLÄCHE;APPLUS STANDARDPROFILLÄNGE;APPLUS STANDARDFLÄCHE;APPLUS EINKAUF;APPLUS LAGER;APPLUS FERTIGUNG;APPLUS AUFTRAG;APPLUS LÄNGE;APPLUS BREITE;APPLUS WAND ID;APPLUS BSU ID;APPLUS KLEINTEILBEZEICHNUNG;APPLUS KLEINTEILSCHLÜSSEL;APPLUS KLEINTEILARTIKELNUMMER
4;Platte- GK-Platte Weather Defence (1200 x 1907);1001960;1;Stück;Platte;;2,2884;;3;1;1;0;0;1907;1200;Wand 4 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;3,125;1;1;0;0;1250;2400;Wand 3 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;3;;3,125;1;1;0;0;1250;2400;Wand 3 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;0,9699;;3,125;1;1;0;0;1250;2400;Wand 1 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,5;;3,125;1;1;0;0;1250;2400;Wand 1 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1138);10020999;1;Stück;Platte;;2,7312;;3,125;1;1;0;0;1138;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 645);10020999;1;Stück;Platte;;1,548;;3,125;1;1;0;0;645;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1143);10020999;1;Stück;Platte;;2,7432;;3,125;1;1;0;0;1143;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 558);10020999;1;Stück;Platte;;1,3392;;3,125;1;1;0;0;558;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1230);10020999;1;Stück;Platte;;2,9508;;3,125;1;1;0;0;1230;2400;Wand 4 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
