APPLUS EBENE,APPLUS BEZEICHNUNG,APPLUS ARTIKELNUMMER,APPLUS MENGE,APPLUS MENGENEINHEIT,APPLUS ARTIKELGRUPPE,APPLUS PROFILLÄNGE,APPLUS FLÄCHE,APPLUS STANDARDPROFILLÄNGE,APPLUS STANDARDFLÄCHE,APPLUS EINKAUF,APPLUS LAGER,APPLUS FERTIGUNG,APPLUS AUFTRAG,APPLUS LÄNGE,APPLUS BREITE,APPLUS WAND ID,APPLUS KLEINTEILMENGE,APPLUS KLEINTEILBEZEICHNUNG,APPLUS KLEINTEILSCHLÜSSEL,APPLUS KLEINTEILARTIKELNUMMER,APPLUS BSU ID,Wand ID
1,Projekt C:/Users/justu/AppData/Local/Programs/Python/Python310/python.exe c:/Users/justu/PycharmProjects/REVIT_CSV_AP+/main.py,,1,Stück,,,,,,0,0,1,1,,,,,,,,,0
2,Wand 1,,1,Stück,kalk.pos.,,,,,0,0,1,1,,,,,,,,,1
3,Alle Kleinteil Wand 1,,1,Stück,Kleinteil,,,,,0,0,1,1,,,,,,,,,1
4,"Hilti Magazin S-DD01B 3,5x25",1000023,67,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 WD,,,,,,1
4,"Hilti Magazin S-DD01B 3,5x25",1000023,20,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 WD,,,,,,1
4,"Hilti Magazin S-DD01B 3,5x25",1000023,2,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 Laibung,,,,,,1
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,74,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 Profile ,,,,,,1
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,41,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 Profile ,,,,,,1
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,20,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 Profile ,,,,,,1
4,"Schraube - Hilti SBS S-MD03Z (6,3x19)",1001958,2,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 Profile ,,,,,,1
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,90,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 OSB 3 IW,,,,,,1
4,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",1002033,45,Stück,Kleinteil,,,,,1,1,0,0,,,Wand 1 OSB 3 AW,,,,,,1
3,Alle Platte Wand 1,,1,Stück,Platte,,,,,0,0,1,1,,,,,,,,,1
4,Platte- GK-Platte Weather Defence (525 x 112) 0.059 M2,26011205250059,2,Stück,PlatteS,,0.059,,3,0,0,1,1,0112,0525,Wand 1 Laibung,2,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,1
5,,1001960,0.059,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (2021 x 112) 0.226 M2,26011220210226,2,Stück,PlatteS,,0.226,,3,0,0,1,1,0112,2021,Wand 1 Laibung,5,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,1
5,,1001960,0.226,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 250) 0.300 M2,26025012000300,1,Stück,PlatteS,,0.300,,3,0,0,1,1,0250,1200,Wand 1 WD,6,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,1
5,,1001960,0.3,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 1375) 0.832 M2,26137512000832,1,Stück,PlatteM,,0.832,,3,0,0,1,1,1375,1200,Wand 1 WD,15,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,1
5,,1001960,0.832,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 1375) 1.150 M2,26137512001150,1,Stück,PlatteM,,1.150,,3,0,0,1,1,1375,1200,Wand 1 WD,21,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,1
5,,1001960,1.15,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 1490) 1.788 M2,26149012001788,1,Stück,PlatteL,,1.788,,3,0,0,1,1,1490,1200,Wand 1 WD,33,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,1
5,,1001960,1.788,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 738) 0.733 M2,27073824000733,1,Stück,PlatteM,,0.733,,"3,125",0,0,1,1,0738,2400,Wand 1 OSB 3 AW,14,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,1
5,,10020999,0.733,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1250) 0.970 M2,27125024000970,1,Stück,PlatteM,,0.970,,"3,125",0,0,1,1,1250,2400,Wand 1 OSB 3 IW,18,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,1
5,,10020999,0.97,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 738) 1.498 M2,27073824001498,1,Stück,PlatteM,,1.498,,"3,125",0,0,1,1,0738,2400,Wand 1 OSB 3 AW,27,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,1
5,,10020999,1.498,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1250) 1.677 M2,27125024001677,1,Stück,PlatteL,,1.677,,"3,125",0,0,1,1,1250,2400,Wand 1 OSB 3 AW,31,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,1
5,,10020999,1.677,M2,,,,,,1,1,0,0,,,,,,,,,
